country,carrier,min,max
BE,nuclear_nextgen,,0.1
DE,nuclear_nextgen,,0.1
DK,nuclear_nextgen,,0.1
LU,nuclear_nextgen,,0.1
NO,nuclear_nextgen,,0.1
FR,nuclear_nextgen,6400,
BE,OCGT-nextgen,3499,
DE,OCGT-nextgen,15004,
FR,OCGT-nextgen,3504,
GB,OCGT-nextgen,3314,
NL,OCGT-nextgen,7504,
BE,CCGT-nextgen,3499,
DE,CCGT-nextgen,15004,
FR,CCGT-nextgen,3504,
GB,CCGT-nextgen,3314,
NL,CCGT-nextgen,7504,
BE,onwind,4500,
DE,onwind,102000,
FR,onwind,35900,
GB,onwind,31150,
NL,onwind,10900,
BE,offwind-ac,1480,
DK,offwind-ac,4200,
FR,offwind-ac,5500,
GB,offwind-ac,12500,
NL,offwind-ac,5500,
BE,offwind-dc,3100,
DE,offwind-dc,35000,
FR,offwind-dc,4000,
GB,offwind-dc,63700,
NL,offwind-dc,22000,
BE,solar,16670,
DE,solar,192000,
FR,solar,44200,
GB,solar,57200,
NL,solar,56000,
BE,battery,4600,
DE,battery,6000,
FR,battery,800,
GB,battery,16100,
NL,battery,6000,
BE,H2 electrolysis,2000,
DE,H2 electrolysis,8000,
FR,H2 electrolysis,10000,
GB,H2 electrolysis,11700,
NL,H2 electrolysis,15200,